time,event,node,packet,noise
6.396008,COLLISION,0,,
6.396987,TX,9,43,0.000000
6.402184,COLLISION,0,,
6.404538,COLLISION,5,,
6.437786,COLLISION,1,,
6.438653,COLLISION,2,,
6.439622,COLLISION,8,,
6.440047,COLLISION,2,,
6.440047,COLLISION,6,,
6.440966,COLLISION,3,,
6.444974,RX,4,38,0.000000
6.445805,COLLISION,1,,
6.447328,RX,9,61,0.000000
6.447653,COLLISION,5,,
6.449806,COLLISION,8,,
6.449840,COLLISION,6,,
6.450987,TX,9,45,0.000000
6.456184,COLLISION,0,,
6.458538,COLLISION,5,,
6.464974,COLLISION,8,,
6.466341,COLLISION,3,,
6.470040,COLLISION,1,,
6.479686,RX,7,60,0.395000
6.481315,COLLISION,2,,
6.489431,COLLISION,6,,
6.492653,COLLISION,2,,
6.494966,COLLISION,3,,
6.498974,RX,4,39,0.000000
6.499805,COLLISION,1,,
6.501328,RX,9,94,0.000000
6.503840,COLLISION,6,,
6.504008,COLLISION,0,,
6.504987,TX,9,51,0.000000
6.508034,COLLISION,5,,
6.510184,COLLISION,0,,
6.512538,COLLISION,5,,
6.512961,RX,7,38,0.395000
6.526405,COLLISION,0,,
6.526405,COLLISION,4,,
6.533686,RX,7,61,0.395000
6.545786,COLLISION,1,,
6.552974,RX,4,43,0.395000
6.553805,COLLISION,1,,
6.555653,COLLISION,5,,
6.557840,COLLISION,6,,
6.558987,TX,9,52,0.395000
6.564184,COLLISION,0,,
6.566538,COLLISION,5,,
6.566961,RX,7,39,0.395000
6.572974,COLLISION,4,,
6.587686,RX,7,94,0.395000
6.596034,RX,9,102,0.000000
6.597431,COLLISION,6,,
6.606974,RX,8,45,0.000000
6.612008,COLLISION,0,,
6.612987,TX,9,53,0.000000
6.618184,COLLISION,0,,
6.620538,COLLISION,5,,
6.620961,RX,7,43,0.000000
6.634653,RX,2,43,0.000000
6.636966,RX,3,45,0.000000
6.660974,RX,8,51,0.000000
6.663653,COLLISION,5,,
6.666987,TX,9,79,0.000000
6.674961,RX,7,45,0.000000
6.688653,RX,2,45,0.000000
6.690966,RX,3,51,0.000000
6.695805,RX,1,43,0.000000
6.714974,RX,4,52,0.000000
6.714974,RX,8,52,0.000000
6.720987,TX,9,80,0.000000
6.728961,RX,7,51,0.000000
6.739431,RX,6,45,0.000000
6.742653,RX,2,51,0.000000
6.744966,RX,3,52,0.000000
6.749805,RX,1,45,0.000000
6.760184,RX,0,43,0.000000
6.768974,RX,4,53,0.000000
6.768974,RX,8,53,0.000000
6.774987,TX,9,91,0.000000
6.782961,RX,7,52,0.000000
6.793431,RX,6,51,0.000000
6.796653,RX,2,52,0.000000
6.798966,RX,3,53,0.000000
6.803805,RX,1,51,0.000000
6.805653,RX,5,45,0.000000
6.814184,RX,0,45,0.000000
6.822974,RX,4,79,0.000000
6.822974,RX,8,79,0.000000
6.828987,TX,9,92,0.000000
6.836961,RX,7,53,0.000000
6.847431,RX,6,52,0.000000
6.850653,RX,2,53,0.000000
6.852966,RX,3,79,0.000000
6.857805,RX,1,52,0.000000
6.859653,RX,5,51,0.000000
6.868184,RX,0,51,0.000000
6.876974,RX,4,80,0.000000
6.876974,RX,8,80,0.000000
6.882987,TX,9,93,0.000000
6.890961,RX,7,79,0.000000
6.901431,RX,6,53,0.000000
6.904653,RX,2,79,0.000000
6.906966,RX,3,80,0.000000
6.911805,RX,1,53,0.000000
6.913653,RX,5,52,0.000000
6.922184,RX,0,52,0.000000
6.930974,RX,4,91,0.000000
6.930974,RX,8,91,0.000000
6.936987,TX,9,100,0.000000
6.944961,RX,7,80,0.000000
6.955431,RX,6,79,0.000000
6.958653,RX,2,80,0.000000
6.960966,RX,3,91,0.000000
6.965805,RX,1,79,0.000000
6.967653,RX,5,53,0.000000
6.976184,RX,0,53,0.000000
6.984974,RX,4,92,0.000000
6.984974,RX,8,92,0.000000
6.990987,TX,9,101,0.000000
6.998961,RX,7,91,0.000000
7.009431,RX,6,80,0.000000
7.012653,RX,2,91,0.000000
7.014966,RX,3,92,0.000000
7.019805,RX,1,80,0.000000
7.021653,RX,5,79,0.000000
7.030184,RX,0,79,0.000000
7.038974,RX,4,93,0.000000
7.038974,RX,8,93,0.000000
7.044987,TX,9,104,0.000000
7.052961,RX,7,92,0.000000
7.063431,RX,6,91,0.000000
7.066653,RX,2,92,0.000000
7.068966,RX,3,93,0.000000
7.073805,RX,1,91,0.000000
7.075653,RX,5,80,0.000000
7.084184,RX,0,80,0.000000
7.092974,RX,4,100,0.000000
7.092974,RX,8,100,0.000000
7.098987,TX,9,108,0.000000
7.106961,RX,7,93,0.000000
7.117431,RX,6,92,0.000000
7.120653,RX,2,93,0.000000
7.122966,RX,3,100,0.000000
7.127805,RX,1,92,0.000000
7.129653,RX,5,91,0.000000
7.138184,RX,0,91,0.000000
7.146974,RX,4,101,0.000000
7.146974,RX,8,101,0.000000
7.160961,RX,7,100,0.000000
7.171431,RX,6,93,0.000000
7.174653,RX,2,100,0.000000
7.176966,RX,3,101,0.000000
7.181805,RX,1,93,0.000000
7.183653,RX,5,92,0.000000
7.192184,RX,0,92,0.000000
7.200974,RX,4,104,0.000000
7.200974,RX,8,104,0.000000
7.214961,RX,7,101,0.000000
7.225431,RX,6,100,0.000000
7.228653,RX,2,101,0.000000
7.230966,RX,3,104,0.000000
7.235805,RX,1,100,0.000000
7.237653,RX,5,93,0.000000
7.246184,RX,0,93,0.000000
7.254974,RX,4,108,0.000000
7.254974,RX,8,108,0.000000
7.268961,RX,7,104,0.000000
7.279431,RX,6,101,0.000000
7.282653,RX,2,104,0.000000
7.284966,RX,3,108,0.000000
7.289805,RX,1,101,0.000000
7.291653,RX,5,100,0.000000
7.300184,RX,0,100,0.000000
7.322961,RX,7,108,0.000000
7.333431,RX,6,104,0.000000
7.336653,RX,2,108,0.000000
7.343805,RX,1,104,0.000000
7.345653,RX,5,101,0.000000
7.354184,RX,0,101,0.000000
7.387431,RX,6,108,0.000000
7.397805,RX,1,108,0.000000
7.399653,RX,5,104,0.000000
7.408184,RX,0,104,0.000000
7.408261,TX,3,97,0.000000
7.439718,TX,8,96,0.000000
7.453653,RX,5,108,0.000000
7.462184,RX,0,108,0.000000
7.462261,TX,3,98,0.000000
7.485566,TX,4,109,0.000000
7.507705,COLLISION,9,,
7.514511,TX,6,74,0.000000
7.516261,TX,3,99,0.000000
7.517464,COLLISION,7,,
7.537698,COLLISION,2,,
7.540007,COLLISION,4,,
7.553553,COLLISION,9,,
7.556542,COLLISION,7,,
7.560241,COLLISION,9,,
7.564248,RX,2,97,0.395000
7.568511,TX,6,81,0.000000
7.574007,RX,4,97,0.395000
7.574007,RX,8,97,0.000000
7.579847,COLLISION,8,,
7.582498,COLLISION,1,,
7.582498,COLLISION,7,,
7.584248,COLLISION,2,,
7.589385,COLLISION,1,,
7.594007,COLLISION,4,,
7.594007,COLLISION,8,,
7.598235,COLLISION,1,,
7.605464,RX,3,96,0.000000
7.608792,COLLISION,2,,
7.612490,COLLISION,0,,
7.620760,COLLISION,5,,
7.622511,TX,6,88,0.790000
7.636498,COLLISION,5,,
7.636498,COLLISION,7,,
7.639911,COLLISION,7,,
7.640162,COLLISION,5,,
7.645927,RX,6,97,0.395000
7.650537,COLLISION,0,,
7.651312,RX,3,109,0.000000
7.652235,COLLISION,1,,
7.662792,COLLISION,2,,
7.663692,RX,6,96,0.395000
7.666222,COLLISION,0,,
7.666490,COLLISION,0,,
7.676511,TX,6,95,0.395000
7.686010,COLLISION,1,,
7.690498,COLLISION,1,,
7.690498,COLLISION,5,,
