time,event,node,packet,noise
28.481344,RX,0,21,0.000000
28.481344,RX,4,21,0.000000
28.848000,TX,8,63,0.000000
28.995987,RX,9,63,0.000000
29.005746,RX,3,63,0.000000
29.005746,RX,7,63,0.000000
29.022281,RX,4,63,0.000000
29.025980,RX,2,63,0.000000
29.063974,RX,6,63,0.000000
29.077666,RX,1,63,0.000000
29.128444,RX,5,63,0.000000
29.138819,RX,0,63,0.000000
29.449000,TX,9,24,0.000000
29.596987,RX,4,24,0.000000
29.596987,RX,8,24,0.000000
29.626980,RX,3,24,0.000000
29.664974,RX,7,24,0.000000
29.678666,RX,2,24,0.000000
29.729444,RX,6,24,0.000000
29.739819,RX,1,24,0.000000
29.795667,RX,5,24,0.000000
29.804197,RX,0,24,0.000000
